PMCID,PMID,Title,Year,Associated Keywords,Citations,Keywords Count,Score,Journal,DOI,Authors,Abstract
12006512,40246949,Effect of natural carbonates on microbially induced calcite precipitation process,2025,"['microbially induced calcite precipitation', 'natural carbonates', 'chemical measurements', 'microscale characterization', 'shear-wave velocity', 'biogeochemistry', 'civil engineering']",0,"{'concrete': 48, 'calcite': 147, 'precipitation': 40}",16.67361733439461,Scientific Reports,10.1038/s41598-025-97737-2,"['Shivaprakash, Shaivan H.', 'Yanez, Valerie R.', 'Graddy, Charles M. R.', 'Gomez, Michael G.', 'DeJong, Jason T.', 'Burns, Susan E.']","Microbially induced calcite precipitation (MICP) is an emerging ground improvement technique that uses microbes to induce cementation between soil particles. To date, the majority of research has focused on exploring MICP with silica-rich sands; however, the present study investigates the process and efficacy of MICP in a carbonate-rich natural soil, and a comparison is made with benchmark silica-rich sands. MICP column experiments were performed with a range of treatment formulations to optimize and understand the MICP process in carbonate-rich soil. Performance was quantified using chemical (pH, urea, and ammonium concentrations) and physical measurements (TGA and LOI tests). Micro-scale characterization of the cemented soils was performed with XRD, SEM, and EDS, while shear-wave velocity (Vs) and unconfined compressive strength tests were performed to evaluate the effect of precipitated calcite on macroscopic engineering properties. Natural carbonates were found to have a significant impact on the MICP process, resulting in an increase in MICP efficiency of 23% and increases in precipitated calcite contents by as much as 82% when compared to benchmark silica-rich soils receiving similar treatments. These results suggest that the presence of natural carbonate minerals within soils may lower the energy barrier and act as preferential sites for calcite precipitation during the MICP process. Furthermore, SEM images highlighted the association of bacterial cells with precipitated calcite crystals, differences in calcite morphologies and more widespread cementation bonds in carbonate-rich soil when compared to silica sand. Generated cementation also resulted in a linear increase in Vs with increases in precipitated calcite contents for MICP treated carbonate-rich soil, consistent with past results for silica sands. Lastly, differences in yeast extract concentrations applied in treatment solutions were also found to significantly impact the development of ureolytic microbial capacity and the efficiency of the MICP process in the considered soils."
9705896,34319256,Improvement of Biomineralization of Sporosarcina pasteurii as Biocementing Material for Concrete Repair by Atmospheric and Room Temperature Plasma Mutagenesis and Response Surface Methodology,2021,"['biomineralization', 'calcite', 'calcium carbonate', 'concrete repair', 'optimization']",6,"{'concrete': 26, 'calcite': 47, 'precipitation': 20}",14.951397716255606,Journal of Microbiology and Biotechnology,10.4014/jmb.2104.04019,"['Han, Pei-pei', 'Geng, Wen-ji', 'Li, Meng-nan', 'Jia, Shi-ru', 'Yin, Ji-long', 'Xue, Run-ze']","Microbially induced calcium carbonate precipitation (MICP) has recently become an intelligent and environmentally friendly method for repairing cracks in concrete. To improve on this ability of microbial materials concrete repair, we applied random mutagenesis and optimization of mineralization conditions to improve the quantity and crystal form of microbially precipitated calcium carbonate. Sporosarcina pasteurii ATCC 11859 was used as the starting strain to obtain the mutant with high urease activity by atmospheric and room temperature plasma (ARTP) mutagenesis. Next, we investigated the optimal biomineralization conditions and precipitation crystal form using Plackett-Burman experimental design and response surface methodology (RSM). Biomineralization with 0.73 mol/l calcium chloride, 45 g/l urea, reaction temperature of 45°C, and reaction time of 22 h, significantly increased the amount of precipitated calcium carbonate, which was deposited in the form of calcite crystals. Finally, the repair of concrete using the optimized biomineralization process was evaluated. A comparison of water absorption and adhesion of concrete specimens before and after repairs showed that concrete cracks and surface defects could be efficiently repaired. This study provides a new method to engineer biocementing material for concrete repair."
7872276,33561160,Calcite seed-assisted microbial induced carbonate precipitation (MICP),2021,[],7,"{'concrete': 5, 'calcite': 112, 'precipitation': 48}",15.281322338326241,PLoS ONE,10.1371/journal.pone.0240763,"['Zehner, Jennifer', 'Røyne, Anja', 'Sikorski, Pawel', 'Mukherjee, Amitava']","Microbial-induced calcium carbonate precipitation (MICP) is a biological process inducing biomineralization of CaCO3. This can be used to form a solid, concrete-like material. To be able to use MICP successfully to produce solid materials, it is important to understand the formation process of the material in detail. It is well known that crystallization surfaces can influence the precipitation process. Therefore, we present in this contribution a systematic study investigating the influence of calcite seeds on the MICP process. We focus on the changes in the pH and changes of the optical density (OD) signal measured with absorption spectroscopy to analyze the precipitation process. Furthermore, optical microscopy was used to visualize the precipitation processes in the sample and connect them to changes in the pH and OD. We show, that there is a significant difference in the pH evolution between samples with and without calcite seeds present and that the shape of the pH evolution and the changes in OD can give detailed information about the mineral precipitation and transformations. In the presented experiments we show, that amorphous calcium carbonate (ACC) can also precipitate in the presence of initial calcite seeds and this can have implications for consolidated MICP materials."
7727839,33255349,Microbiologically Induced Carbonate Precipitation in the Restoration and Conservation of Cultural Heritage Materials,2020,"['microbiologically induced carbonate precipitation (micp)', 'conservation', 'restoration', 'cultural heritage', 'calcium carbonate']",12,"{'concrete': 0, 'calcite': 0, 'precipitation': 0}",0.0,Molecules,10.3390/molecules25235499,"['Ortega-Villamagua, Erick', 'Gudiño-Gomezjurado, Marco', 'Palma-Cando, Alex', 'Rodriguez, Hortensia', 'Santiago Vispo, Nelson', 'Dente, Luciana']","Microbiologically induced carbonate precipitation (MICP) is a well-known biogeochemical process that allows the formation of calcium carbonate deposits in the extracellular environment. The high concentration of carbonate and calcium ions on the bacterial surface, which serves as nucleation sites, promotes the calcium carbonate precipitation filling and binding deteriorated materials. Historic buildings and artwork, especially those present in open sites, are susceptible to enhanced weathering resulting from environmental agents, interaction with physical-chemical pollutants, and living organisms, among others. In this work, some published variations of a novel and ecological surface treatment of heritage structures based on MICP are presented and compared. This method has shown to be successful as a restoration, consolidation, and conservation tool for improvement of mechanical properties and prevention of unwanted gas and fluid migration from historical materials. The treatment has revealed best results on porous media matrixes; nevertheless, it can also be applied on soil, marble, concrete, clay, rocks, and limestone. MICP is proposed as a potentially safe and powerful procedure for efficient conservation of worldwide heritage structures."
11299504,38972424,"Advances in microbial self-healing concrete: A critical review of mechanisms, developments, and future directions",2024,"['self-healing bioconcrete', 'microbial-induced calcite precipitation (miccp)', 'biomineralization', 'sustainable building materials', 'fungal applications in concrete', 'microbial spore encapsulation']",7,"{'concrete': 244, 'calcite': 13, 'precipitation': 55}",18.6576527557516,The Science of the Total Environment,10.1016/j.scitotenv.2024.174553,"['Wong, Pui Yan', 'Mal, Joyabrata', 'Sandak, Anna', 'Luo, Lijun', 'Jian, Jianxiong', 'Pradhan, Nirakar']","The self-healing bioconcrete, or bioconcrete as concrete containing microorganisms with self-healing capacities, presents a transformative strategy to extend the service life of concrete structures. This technology harnesses the biological capabilities of specific microorganisms, such as bacteria and fungi, which are integral to the material\'s capacity to autonomously mend cracks, thereby maintaining structural integrity. This review highlights the complex biochemical pathways these organisms utilize to produce healing compounds like calcium carbonate, and how environmental parameters, such as pH, temperature, oxygen, and moisture critically affect the repair efficacy. A comprehensive analysis of recently published peer-reviewed literature, and contemporary experimental research forms the backbone of this review with a focus on microbiological aspects of the self-healing process. The review assesses the challenges facing self-healing bioconcrete, including the longevity of microbial spores and the cost implications for large-scale implementation. Further, attention is given to potential research directions, such as investigating alternative biological agents and optimizing the concrete environment to support microbial activity. The culmination of this investigation is a call to action for integrating self-healing bioconcrete in construction on a broader scale, thereby realizing its potential to fortify infrastructure resilience and sustainability."
9797461,36576609,Influencing factors on ureolytic microbiologically induced calcium carbonate precipitation for biocementation,2022,"['biocementation', 'biosandstone', 'microbiologically induced calcium carbonate precipitation (micp)', 'ureolytic activity']",11,"{'concrete': 2, 'calcite': 10, 'precipitation': 29}",10.525536344914597,World Journal of Microbiology & Biotechnology,10.1007/s11274-022-03499-8,"['Erdmann, N.', 'Strieth, D.']","Microbiologically induced calcium carbonate precipitation (MICP) is a technique that has received a lot of attention in the field of geotechnology in the last decade. It has the potential to provide a sustainable and ecological alternative to conventional consolidation of minerals, for example by the use of cement. From a variety of microbiological metabolic pathways that can induce calcium carbonate (CaCO3) precipitation, ureolysis has been established as the most commonly used method. To better understand the mechanisms of MICP and to develop new processes and optimize existing ones based on this understanding, ureolytic MICP is the subject of intensive research. The interplay of biological and civil engineering aspects shows how interdisciplinary research needs to be to advance the potential of this technology. This paper describes and critically discusses, based on current literature, the key influencing factors involved in the cementation of sand by ureolytic MICP. Due to the complexity of MICP, these factors often influence each other, making it essential for researchers from all disciplines to be aware of these factors and its interactions. Furthermore, this paper discusses the opportunities and challenges for future research in this area to provide impetus for studies that can further advance the understanding of MICP."
4148801,24837386,Formate Oxidation-Driven Calcium Carbonate Precipitation by Methylocystis parvus OBBP,2014,[],17,"{'concrete': 0, 'calcite': 0, 'precipitation': 0}",0.0,Applied and Environmental Microbiology,10.1128/AEM.01349-14,"['Ganendra, Giovanni', 'De Muynck, Willem', 'Ho, Adrian', 'Arvaniti, Eleni Charalampous', 'Hosseinkhani, Baharak', 'Ramos, Jose Angel', 'Rahier, Hubert', 'Boon, Nico', 'Kostka, J. E.']","Microbially induced carbonate precipitation (MICP) applied in the construction industry poses several disadvantages such as ammonia release to the air and nitric acid production. An alternative MICP from calcium formate by Methylocystis parvus OBBP is presented here to overcome these disadvantages. To induce calcium carbonate precipitation, M. parvus was incubated at different calcium formate concentrations and starting culture densities. Up to 91.4% ± 1.6% of the initial calcium was precipitated in the methane-amended cultures compared to 35.1% ± 11.9% when methane was not added. Because the bacteria could only utilize methane for growth, higher culture densities and subsequently calcium removals were exhibited in the cultures when methane was added. A higher calcium carbonate precipitate yield was obtained when higher culture densities were used but not necessarily when more calcium formate was added. This was mainly due to salt inhibition of the bacterial activity at a high calcium formate concentration. A maximum 0.67 ± 0.03 g of CaCO3 g of Ca(CHOOH)2−1 calcium carbonate precipitate yield was obtained when a culture of 109 cells ml−1 and 5 g of calcium formate liter−1 were used. Compared to the current strategy employing biogenic urea degradation as the basis for MICP, our approach presents significant improvements in the environmental sustainability of the application in the construction industry."
7082560,31980427,In-Depth Profiling of Calcite Precipitation by Environmental Bacteria Reveals Fundamental Mechanistic Differences with Relevance to Application,2020,"['ureolysis', 'self-healing concrete', 'microbially induced calcite precipitation', 'bacillus']",24,"{'concrete': 11, 'calcite': 18, 'precipitation': 54}",15.42524869145045,Applied and Environmental Microbiology,10.1128/AEM.02739-19,"['Reeksting, Bianca J.', 'Hoffmann, Timothy D.', 'Tan, Linzhen', 'Paine, Kevin', 'Gebhard, Susanne', 'Kelly, Robert M.']","Biomineralization triggered by bacteria is important in the natural environment and has many applications in industry and in civil and geotechnical engineering. The diversity in biomineralization capabilities of environmental bacteria is, however, not well understood. This study surveyed environmental bacteria for their ability to precipitate calcium carbonate minerals and investigated both the mechanisms and the resulting crystals. We show that while urease activity leads to the fastest precipitation, it is by no means essential. Importantly, the same quantities of calcium carbonate are produced by nonureolytic bacteria, and the resulting crystals appear to have larger volumes and more organic components, which are likely beneficial in specific applications. Testing both precipitation mechanisms in a self-healing concrete application showed that nonureolytic bacteria delivered more robust results. Here, we performed a systematic study of the fundamental differences in biomineralization between environmental bacteria, and we provide important information for the design of bacterially based engineering solutions."
11900583,40076853,Mineral Carbonation for Carbon Sequestration: A Case for MCP and MICP,2025,"['mineral carbonation', 'carbon sequestration', 'carbon dioxide', 'microbially induced carbonate precipitation', 'urease', 'carbonic anhydrase', 'microbial carbonate precipitation']",0,"{'concrete': 0, 'calcite': 0, 'precipitation': 0}",0.0,International Journal of Molecular Sciences,10.3390/ijms26052230,"['Wilcox, Samantha M.', 'Mulligan, Catherine N.', 'Neculita, Carmen Mihaela', 'Zhao, Jian']","Mineral carbonation is a prominent method for carbon sequestration. Atmospheric carbon dioxide (CO2) is trapped as mineral carbonate precipitates, which are geochemically, geologically, and thermodynamically stable. Carbonate rocks can originate from biogenic or abiogenic origin, whereby the former refers to the breakdown of biofragments and the latter precipitation out of water. Carbonates can also be formed through biologically controlled mechanisms (BCMs), biologically mediated mechanisms (BMMs), and biologically induced mechanisms (BIMs). Microbial carbonate precipitation (MCP) is a BMM occurring through the interaction of organics (extracellular polymeric substances (EPS), cell wall, etc.) and soluble cations facilitating indirect precipitation of carbonate minerals. Microbially induced carbonate precipitation (MICP) is a BIM occurring via different metabolic pathways. Enzyme-driven pathways (carbonic anhydrase (CA) and/or urease), specifically, are promising for the high conversion to calcium carbonate (CaCO3) precipitation, trapping large quantities of gaseous CO2. These carbonate precipitates can trap CO2 via mineral trapping, solubility trapping, and formation trapping and aid in CO2 leakage reduction in geologic carbon sequestration. Additional experimental research is required to assess the feasibility of MICP for carbon sequestration at large scale for long-term stability of precipitates. Laboratory-scale evaluation can provide preliminary data on preferable metabolic pathways for different materials and their capacity for carbonate precipitation via atmospheric CO2 versus injected CO2."
10467343,37439668,Microbially Induced Calcium Carbonate Precipitation by Sporosarcina pasteurii: a Case Study in Optimizing Biological CaCO3 Precipitation,2023,"['micp', 'sporosarcina pasteurii', 'biocementation', 'calcium carbonate', 'urease', 'microbially induced calcium carbonate precipitation', 'biocement']",9,"{'concrete': 0, 'calcite': 0, 'precipitation': 0}",0.0,Applied and Environmental Microbiology,10.1128/aem.01794-22,"['Carter, Michael S.', 'Tuttle, Matthew J.', 'Mancini, Joshua A.', 'Martineau, Rhett', 'Hung, Chia-Suei', 'Gupta, Maneesh K.', 'Bose, Arpita']","Current production of traditional concrete requires enormous energy investment that accounts for approximately 5 to 8% of the world’s annual CO2 production. Biocement is a building material that is already in industrial use and has the potential to rival traditional concrete as a more convenient and more environmentally friendly alternative. Biocement relies on biological structures (enzymes, cells, and/or cellular superstructures) to mineralize and bind particles in aggregate materials (e.g., sand and soil particles). Sporosarcina pasteurii is a workhorse organism for biocementation, but most research to date has focused on S. pasteurii as a building material rather than a biological system. In this review, we synthesize available materials science, microbiology, biochemistry, and cell biology evidence regarding biological CaCO3 precipitation and the role of microbes in microbially induced calcium carbonate precipitation (MICP) with a focus on S. pasteurii. Based on the available information, we provide a model that describes the molecular and cellular processes involved in converting feedstock material (urea and Ca2+) into cement. The model provides a foundational framework that we use to highlight particular targets for researchers as they proceed into optimizing the biology of MICP for biocement production."
