PMCID,PMID,Title,Year,Associated Keywords,Citations,Keywords Count,Score,Journal,DOI,Authors,Abstract
6204124,29709599,Autophagy in C. elegans development,2018,"['autophagy', 'lipophagy', 'c. elegans', 'dauer development']",24,"{'ASE': 0, 'che-1': 0, 'lsy-6': 0}",0.0,Developmental biology,10.1016/j.ydbio.2018.04.009,"['Palmisano, Nicholas J.', 'Meléndez, Alicia']","Autophagy involves the sequestration of cytoplasmic contents in a double-membrane structure referred to as the autophagosome and the degradation of its contents upon delivery to lysosomes. Autophagy activity has a role in multiple biological processes during the development of the nematode Caenorhabditis elegans. Basal levels of autophagy are required to remove aggregate prone proteins, paternal mitochondria, and spermatid-specific membranous organelles. During larval development, autophagy is required for the remodeling that occurs during dauer development, and autophagy can selectively degrade components of the miRNA-induced silencing complex, and modulate miRNA-mediated silencing. Basal levels of autophagy are important in synapse formation and in the germ line, to promote the proliferation of proliferating stem cells. Autophagy activity is also required for the efficient removal of apoptotic cell corpses by promoting phagosome maturation. Finally, autophagy is also involved in lipid homeostasis and in the aging process. In this review, we first describe the molecular complexes involved in the process of autophagy, its regulation, and mechanisms for cargo recognition. In the second section, we discuss the developmental contexts where autophagy has been shown to be important. Studies in C. elegans provide valuable insights into the physiological relevance of this process during metazoan development."
9065084,35504914,Functional identification of microRNA-centered complexes in C. elegans,2022,"['genetics', 'gene regulation']",3,"{'ASE': 62, 'che-1': 0, 'lsy-6': 41}",0.0,Scientific Reports,10.1038/s41598-022-10771-2,"['Hebbar, Shilpa', 'Panzade, Ganesh', 'Vashisht, Ajay A.', 'Wohlschlegel, James A.', 'Veksler-Lublinsky, Isana', 'Zinovyeva, Anna Y.']","microRNAs (miRNAs) are crucial for normal development and physiology. To identify factors that might coordinate with miRNAs to regulate gene expression, we used 2′O-methylated oligonucleotides to precipitate Caenorhabditis elegans let-7, miR-58, and miR-2 miRNAs and the associated proteins. A total of 211 proteins were identified through mass-spectrometry analysis of miRNA co-precipitates, which included previously identified interactors of key miRNA pathway components. Gene ontology analysis of the identified interactors revealed an enrichment for RNA binding proteins, suggesting that we captured proteins that may be involved in mRNA lifecycle. To determine which miRNA interactors are important for miRNA activity, we used RNAi to deplete putative miRNA co-factors in animals with compromised miRNA activity and looked for alterations of the miRNA mutant phenotypes. Depletion of 25 of 39 tested genes modified the miRNA mutant phenotypes in three sensitized backgrounds. Modulators of miRNA phenotypes ranged from RNA binding proteins RBD-1 and CEY-1 to metabolic factors such as DLST-1 and ECH-5, among others. The observed functional interactions suggest widespread coordination of these proteins with miRNAs to ultimately regulate gene expression. This study provides a foundation for future investigations aimed at deciphering the molecular mechanisms of miRNA-mediated gene regulation."
6795461,31584932,"HRPK-1, a conserved KH-domain protein, modulates microRNA activity during Caenorhabditis elegans development",2019,[],13,"{'ASE': 46, 'che-1': 0, 'lsy-6': 28}",0.0,PLoS Genetics,10.1371/journal.pgen.1008067,"['Li, Li', 'Veksler-Lublinsky, Isana', 'Zinovyeva, Anna', 'Miska, Eric A']","microRNAs (miRNAs) are potent regulators of gene expression that function in diverse developmental and physiological processes. Argonaute proteins loaded with miRNAs form the miRNA Induced Silencing Complexes (miRISCs) that repress gene expression at the post-transcriptional level. miRISCs target genes through partial sequence complementarity between the miRNA and the target mRNA’s 3’ UTR. In addition to being targeted by miRNAs, these mRNAs are also extensively regulated by RNA-binding proteins (RBPs) through RNA processing, transport, stability, and translation regulation. While the degree to which RBPs and miRISCs interact to regulate gene expression is likely extensive, we have only begun to unravel the mechanisms of this functional cooperation. An RNAi-based screen of putative ALG-1 Argonaute interactors has identified a role for a conserved RNA binding protein, HRPK-1, in modulating miRNA activity during C. elegans development. Here, we report the physical and genetic interaction between HRPK-1 and ALG-1/miRNAs. Specifically, we report the genetic and molecular characterizations of hrpk-1 and its role in C. elegans development and miRNA-mediated target repression. We show that loss of hrpk-1 causes numerous developmental defects and enhances the mutant phenotypes associated with reduction of miRNA activity, including those of lsy-6, mir-35-family, and let-7-family miRNAs. In addition to hrpk-1 genetic interaction with these miRNA families, hrpk-1 is required for efficient regulation of lsy-6 target cog-1. We report that hrpk-1 plays a role in processing of some but not all miRNAs and is not required for ALG-1/AIN-1 miRISC assembly. We suggest that HRPK-1 may functionally interact with miRNAs by both affecting miRNA processing and by enhancing miRNA/miRISC gene regulatory activity and present models for its activity."
6748829,31526477,Evolution of neuronal anatomy and circuitry in two highly divergent nematode species,2019,"['neuroanatomy', 'pristionchus pacificus', 'chemosensory', 'neural circuitry', 'nematode', 'electron microscopy', 'other', 'c. elegans']",34,"{'ASE': 90, 'che-1': 33, 'lsy-6': 4}",15.910666150653569,eLife,10.7554/eLife.47155.053,"['Hong, Ray L', 'Riebesell, Metta', 'Bumbarger, Daniel J', 'Cook, Steven J', 'Carstensen, Heather R', 'Sarpolaki, Tahmineh', 'Cochella, Luisa', 'Castrejon, Jessica', 'Moreno, Eduardo', 'Sieriebriennikov, Bogdan', 'Hobert, Oliver', 'Sommer, Ralf J', 'Sengupta, Piali', 'Marder, Eve', 'Sengupta, Piali']","The nematodes C. elegans and P. pacificus populate diverse habitats and display distinct patterns of behavior. To understand how their nervous systems have diverged, we undertook a detailed examination of the neuroanatomy of the chemosensory system of P. pacificus. Using independent features such as cell body position, axon projections and lipophilic dye uptake, we have assigned homologies between the amphid neurons, their first-layer interneurons, and several internal receptor neurons of P. pacificus and C. elegans. We found that neuronal number and soma position are highly conserved. However, the morphological elaborations of several amphid cilia are different between them, most notably in the absence of ‘winged’ cilia morphology in P. pacificus. We established a synaptic wiring diagram of amphid sensory neurons and amphid interneurons in P. pacificus and found striking patterns of conservation and divergence in connectivity relative to C. elegans, but very little changes in relative neighborhood of neuronal processes. These findings demonstrate the existence of several constraints in patterning the nervous system and suggest that major substrates for evolutionary novelty lie in the alterations of dendritic structures and synaptic connectivity."
10139094,37108126,A Compilation of the Diverse miRNA Functions in Caenorhabditis elegans and Drosophila melanogaster Development,2023,"['mirna', 'non-coding rna', 'c. elegans', 'drosophila', 'development', 'gene regulation']",5,"{'ASE': 0, 'che-1': 0, 'lsy-6': 0}",0.0,International Journal of Molecular Sciences,10.3390/ijms24086963,"['Quesnelle, Daniel C.', 'Bendena, William G.', 'Chin-Sang, Ian D.', 'Hoffmann, Klaus H.']","MicroRNAs are critical regulators of post-transcriptional gene expression in a wide range of taxa, including invertebrates, mammals, and plants. Since their discovery in the nematode, Caenorhabditis elegans, miRNA research has exploded, and they are being identified in almost every facet of development. Invertebrate model organisms, particularly C. elegans, and Drosophila melanogaster, are ideal systems for studying miRNA function, and the roles of many miRNAs are known in these animals. In this review, we compiled the functions of many of the miRNAs that are involved in the development of these invertebrate model species. We examine how gene regulation by miRNAs shapes both embryonic and larval development and show that, although many different aspects of development are regulated, several trends are apparent in the nature of their regulation."
3813872,23979582,Mechanisms of Ephrin Receptor Protein Kinase-Independent Signaling in Amphid Axon Guidance in Caenorhabditis elegans,2013,"['ephrin', 'amphid', 'left–right asymmetry', 'abl tyrosine kinase', 'phosphatidylinositol 3-kinase']",14,"{'ASE': 0, 'che-1': 0, 'lsy-6': 0}",0.0,Genetics,10.1534/genetics.113.154393,"['Grossman, Emily N.', 'Giurumescu, Claudiu A.', 'Chisholm, Andrew D.']","Eph receptors and their ephrin ligands are key conserved regulators of axon guidance and can function in a variety of signaling modes. Here we analyze the genetic and cellular requirements for Eph signaling in a Caenorhabditis elegans axon guidance choice point, the ventral guidance of axons in the amphid commissure. The C. elegans Eph receptor EFN-1 has both kinase-dependent and kinase-independent roles in amphid ventral guidance. Of the four C. elegans ephrins, we find that only EFN-1 has a major role in amphid axon ventral guidance, and signals in both a receptor kinase-dependent and kinase-independent manner. Analysis of EFN-1 and EFN-1 expression and tissue-specific requirements is consistent with a model in which VAB-1 acts in amphid neurons, interacting with EFN-1 expressed on surrounding cells. Unexpectedly, left-hand neurons are more strongly affected than right-hand neurons by loss of Eph signaling, indicating a previously undetected left–right asymmetry in the requirement for Eph signaling. By screening candidate genes involved in Eph signaling, we find that the Eph kinase-independent pathway involves the ABL-1 nonreceptor tyrosine kinase and possibly the phosphatidylinositol 3-kinase pathway. Overexpression of ABL-1 is sufficient to rescue EFN-1 ventral guidance defects cell autonomously. Our results reveal new aspects of Eph signaling in a single axon guidance decision in vivo."
10639090,37591249,Anatomical restructuring of a lateralized neural circuit during associative learning by asymmetric insulin signaling,2023,[],6,"{'ASE': 0, 'che-1': 0, 'lsy-6': 0}",0.0,Current biology : CB,10.1016/j.cub.2023.07.041,"['Tang, Leo T.H.', 'Lee, Garrett A.', 'Cook, Steven J.', 'Ho, Jacquelin', 'Potter, Cassandra C.', 'Bülow, Hannes E.']","Studies of neuronal connectivity in model organisms, i.e., of their connectomes, have been instrumental in dissecting the structure-function relationship of nervous systems. However, the limited sample size of these studies has impeded analyses into how variation of connectivity across populations may influence circuit architecture and behavior. Moreover, little is known about how experiences induce changes in circuit architecture. Here, we show that an asymmetric salt-sensing circuit in the nematode Caenorhabditis elegans exhibits variation that predicts the animals’ salt preferences and undergoes restructuring during salt associative learning. Naive worms memorize and prefer the salt concentration they experience in the presence of food through a left-biased neural network architecture. However, animals conditioned at elevated salt concentrations change this left-biased network to a right-biased network. This change in circuit architecture occurs through the addition of new synapses in response to asymmetric, paracrine insulin signaling. Therefore, experience-dependent changes in an animal’s neural connectome are induced by insulin signaling and are fundamental to learning and behavior."
2441980,18463285,Molecular architecture of a miRNA-regulated 3′ UTR,2008,"['c. elegans', 'mirna', 'lsy-6', 'cog-1', '3′ utr']",102,"{'ASE': 0, 'che-1': 0, 'lsy-6': 0}",0.0,RNA,10.1261/rna.1082708,"['Didiano, Dominic', 'Hobert, Oliver']","Animal genomes contain hundreds of microRNAs (miRNAs), small regulatory RNAs that control gene expression by binding to complementary sites in target mRNAs. Some rules that govern miRNA/target interaction have been elucidated but their general applicability awaits further experimentation on a case-by-case basis. We use here an assay system in transgenic nematodes to analyze the interaction of the Caenorhabditis elegans lsy-6 miRNA with 3′ UTR sequences. In contrast to many previously described assay systems used to analyze miRNA/target interactions, our assay system operates within the cellular context in which lsy-6 normally functions, a single neuron in the nervous system of C. elegans. Through extensive mutational analysis, we define features in the known and experimentally validated target of lsy-6, the 3′ UTR of the cog-1 homeobox gene, that are required for a functional miRNA/target interaction. We describe that both in the context of the cog-1 3′ UTR and in the context of heterologous 3′ UTRs, one or more seed matches are not a reliable predictor for a functional miRNA/target interaction. We rather find that two nonsequence specific contextual features beyond miRNA target sites are critical determinants of miRNA-mediated 3′ UTR regulation. The contextual features reside 3′ of lsy-6 binding sites in the 3′ UTR and act in a combinatorial manner; mutation of each results in limited defects in 3′ UTR regulation, but a combinatorial deletion results in complete loss of 3′ UTR regulation. Together with two lsy-6 sites, these two contextual features are capable of imparting regulation on a heterologous 3′ UTR. Moreover, the contextual features need to be present in a specific configuration relative to miRNA binding sites and could either represent protein binding sites or provide an appropriate structural context. We conclude that a given target site resides in a 3′ UTR context that evolved beyond target site complementarity to support regulation by a specific miRNA. The large number of 3′ UTRs that we analyzed in this study will also be useful to computational biologists in designing the next generation of miRNA/target prediction algorithms."
11457946,39167071,Neurogenesis in Caenorhabditis elegans,2024,"['neurogenesis', 'caenorhabditis elegans', 'gene regulation', 'neurodevelopment', 'transcription factors', 'wormbook']",7,"{'ASE': 149, 'che-1': 34, 'lsy-6': 17}",17.63921376793065,Genetics,10.1093/genetics/iyae116,"['Poole, Richard J', 'Flames, Nuria', 'Cochella, Luisa', 'Sundaram, M']","Animals rely on their nervous systems to process sensory inputs, integrate these with internal signals, and produce behavioral outputs. This is enabled by the highly specialized morphologies and functions of neurons. Neuronal cells share multiple structural and physiological features, but they also come in a large diversity of types or classes that give the nervous system its broad range of functions and plasticity. This diversity, first recognized over a century ago, spurred classification efforts based on morphology, function, and molecular criteria. Caenorhabditis elegans, with its precisely mapped nervous system at the anatomical level, an extensive molecular description of most of its neurons, and its genetic amenability, has been a prime model for understanding how neurons develop and diversify at a mechanistic level. Here, we review the gene regulatory mechanisms driving neurogenesis and the diversification of neuron classes and subclasses in C. elegans. We discuss our current understanding of the specification of neuronal progenitors and their differentiation in terms of the transcription factors involved and ensuing changes in gene expression and chromatin landscape. The central theme that has emerged is that the identity of a neuron is defined by modules of gene batteries that are under control of parallel yet interconnected regulatory mechanisms. We focus on how, to achieve these terminal identities, cells integrate information along their developmental lineages. Moreover, we discuss how neurons are diversified postembryonically in a time-, genetic sex-, and activity-dependent manner. Finally, we discuss how the understanding of neuronal development can provide insights into the evolution of neuronal diversity."
12208668,40586702,Evolution of lateralized gustation in nematodes,2025,"['pristionchus pacificus', 'lateral asymmetry', 'calcium imaging', 'other', 'convincing', 'valuable']",3,"{'ASE': 177, 'che-1': 112, 'lsy-6': 7}",17.649363004511056,eLife,10.7554/eLife.103796.3.sa0,['NA'],"Animals with small nervous systems have a limited number of sensory neurons that must encode information from a changing environment. This problem is particularly exacerbated in nematodes that populate a wide variety of distinct ecological niches but only have a few sensory neurons available to encode multiple modalities. How does sensory diversity prevail within this constraint in neuron number? To identify the genetic basis for patterning different nervous systems, we demonstrate that sensory neurons in Pristionchus pacificus respond to various salt sensory cues in a manner that is partially distinct from that of the distantly related nematode Caenorhabditis elegans. Previously we showed that P. pacificus likely lacked bilateral asymmetry (Hong et al., 2019). Here, we show that by visualizing neuronal activity patterns, contrary to previous expectations based on its genome sequence, the salt responses of P. pacificus are encoded in a left/right asymmetric manner in the bilateral ASE neuron pair. Our study illustrates patterns of evolutionary stability and change in the gustatory system of nematodes."
4856075,26921297,Staufen Negatively Modulates MicroRNA Activity in Caenorhabditis elegans,2016,"['microrna', 'stau-1', 'rnai', 'rna-binding protein', '3′utr']",14,"{'ASE': 0, 'che-1': 0, 'lsy-6': 0}",0.0,G3: Genes|Genomes|Genetics,10.1534/g3.116.027300,"['Ren, Zhiji', 'Veksler-Lublinsky, Isana', 'Morrissey, David', 'Ambros, Victor']","The double-stranded RNA-binding protein Staufen has been implicated in various posttranscriptional gene regulatory processes. Here, we demonstrate that the Caenorhabditis elegans homolog of Staufen, STAU-1, functionally interacts with microRNAs. Loss-of-function mutations of stau-1 significantly suppress phenotypes of let-7 family microRNA mutants, a hypomorphic allele of dicer, and a lsy-6 microRNA partial loss-of-function mutant. Furthermore, STAU-1 modulates the activity of lin-14, a target of lin-4 and let-7 family microRNAs, and this modulation is abolished when the 3′ untranslated region of lin-14 is removed. Deep sequencing of small RNA cDNA libraries reveals no dramatic change in the levels of microRNAs or other small RNA populations between wild-type and stau-1 mutants, with the exception of certain endogenous siRNAs in the WAGO pathway. The modulation of microRNA activity by STAU-1 does not seem to be associated with the previously reported enhanced exogenous RNAi (Eri) phenotype of stau-1 mutants, since eri-1 exhibits the opposite effect on microRNA activity. Altogether, our results suggest that STAU-1 negatively modulates microRNA activity downstream of microRNA biogenesis, possibly by competing with microRNAs for binding on the 3′ untranslated region of target mRNAs."
8044110,33850152,Cell-type-specific profiling of loaded miRNAs from Caenorhabditis elegans reveals spatial and temporal flexibility in Argonaute loading,2021,"['caenorhabditis elegans', 'mirnas']",20,"{'ASE': 46, 'che-1': 0, 'lsy-6': 4}",0.0,Nature Communications,10.1038/s41467-021-22503-7,"['Brosnan, Christopher A.', 'Palmer, Alexander J.', 'Zuryn, Steven']","Multicellularity has coincided with the evolution of microRNAs (miRNAs), small regulatory RNAs that are integrated into cellular differentiation and homeostatic gene-regulatory networks. However, the regulatory mechanisms underpinning miRNA activity have remained largely obscured because of the precise, and thus difficult to access, cellular contexts under which they operate. To resolve these, we have generated a genome-wide map of active miRNAs in Caenorhabditis elegans by revealing cell-type-specific patterns of miRNAs loaded into Argonaute (AGO) silencing complexes. Epitope-labelled AGO proteins were selectively expressed and immunoprecipitated from three distinct tissue types and associated miRNAs sequenced. In addition to providing information on biological function, we define adaptable miRNA:AGO interactions with single-cell-type and AGO-specific resolution. We demonstrate spatial and temporal dynamicism, flexibility of miRNA loading, and suggest miRNA regulatory mechanisms via AGO selectivity in different tissues and during ageing. Additionally, we resolve widespread changes in AGO-regulated gene expression by analysing translatomes specifically in neurons."
3014911,21122110,Developmental control of lateralized neuron size in the nematode Caenorhabditis elegans,2010,[],16,"{'ASE': 0, 'che-1': 0, 'lsy-6': 0}",0.0,Neural Development,10.1186/1749-8104-5-33,"['Goldsmith, Andrew D', 'Sarin, Sumeet', 'Lockery, Shawn', 'Hobert, Oliver']","Nervous systems are generally bilaterally symmetric on a gross structural and organizational level but are strongly lateralized (left/right asymmetric) on a functional level. It has been previously noted that in vertebrate nervous systems, symmetrically positioned, bilateral groups of neurons in functionally lateralized brain regions differ in the size of their soma. The genetic mechanisms that control these left/right asymmetric soma size differences are unknown. The nematode Caenorhabditis elegans offers the opportunity to study this question with single neuron resolution. A pair of chemosensory neurons (ASEL and ASER), which are bilaterally symmetric on several levels (projections, synaptic connectivity, gene expression patterns), are functionally lateralized in that they express distinct chemoreceptors and sense distinct chemosensory cues."
8429449,34504291,Plasticity in gustatory and nociceptive neurons controls decision making in C. elegans salt navigation,2021,"['sensory processing', 'computational models']",9,"{'ASE': 290, 'che-1': 9, 'lsy-6': 2}",13.238952015664076,Communications Biology,10.1038/s42003-021-02561-9,"['Dekkers, Martijn P. J.', 'Salfelder, Felix', 'Sanders, Tom', 'Umuerri, Oluwatoroti', 'Cohen, Netta', 'Jansen, Gert']","A conventional understanding of perception assigns sensory organs the role of capturing the environment. Better sensors result in more accurate encoding of stimuli, allowing for cognitive processing downstream. Here we show that plasticity in sensory neurons mediates a behavioral switch in C. elegans between attraction to NaCl in naïve animals and avoidance of NaCl in preconditioned animals, called gustatory plasticity. Ca2+ imaging in ASE and ASH NaCl sensing neurons reveals multiple cell-autonomous and distributed circuit adaptation mechanisms. A computational model quantitatively accounts for observed behaviors and reveals roles for sensory neurons in the control and modulation of motor behaviors, decision making and navigational strategy. Sensory adaptation dynamically alters the encoding of the environment. Rather than encoding the stimulus directly, therefore, we propose that these C. elegans sensors dynamically encode a context-dependent value of the stimulus. Our results demonstrate how adaptive sensory computation can directly control an animal’s behavioral state."
3894411,24361693,Two distinct types of neuronal asymmetries are controlled by the Caenorhabditis elegans zinc finger transcription factor die-1,2014,"['asymmetry', 'transcriptional control', 'c. elegans']",23,"{'ASE': 0, 'che-1': 0, 'lsy-6': 0}",0.0,Genes & Development,10.1101/gad.233643.113,"['Cochella, Luisa', 'Tursun, Baris', 'Hsieh, Yi-Wen', 'Galindo, Samantha', 'Johnston, Robert J.', 'Chuang, Chiou-Fen', 'Hobert, Oliver']","Left/right asymmetric features of the body are either randomly distributed on either the left or right side within a population (antisymmetries) or found on one particular side (directional asymmetries). Nervous systems display both types of asymmetries, but it is unknown whether shared regulators establish them. Here, Cochella et al. show that the transcription factor die-1 controls both antisymmetry and directional asymmetry in distinct sensory systems in C. elegans. This study uncovers the first molecular link between two different kinds of body plan asymmetries."
