PMCID,PMID,Title,Year,Associated Keywords,Citations,Keywords Count,Score,Journal,DOI,Authors,Abstract
9759857,36528622,Tailoring the expression of Xyr1 leads to efficient production of lignocellulolytic enzymes in Trichoderma reesei for improved saccharification of corncob residues,2022,"['trichoderma reesei', 'xyr1', 'transcription activator', 'cellulase', 'saccharification']",3,"{'xyr1': 124, 'ace3': 2, 'cbh1': 28, 'cellulase': 96, 'reesei': 50}",10.446344859316577,Biotechnology for Biofuels and Bioproducts,10.1186/s13068-022-02240-9,"['Shen, Linjing', 'Yan, Aiqin', 'Wang, Yifan', 'Wang, Yubo', 'Liu, Hong', 'Zhong, Yaohua']","The filamentous fungus Trichoderma reesei is extensively used for the industrial-scale cellulase production. It has been well known that the transcription factor Xyr1 plays an important role in the regulatory network controlling cellulase gene expression. However, the role of Xyr1 in the regulation of cellulase expression has not been comprehensively elucidated, which hinders further improvement of lignocellulolytic enzyme production."
3067402,21169417,"Differential Regulation of the Cellulase Transcription Factors XYR1, ACE2, and ACE1 in Trichoderma reesei Strains Producing High and Low Levels of Cellulase'], b'▿', b'ref-type=""fn"" rid=""FN1"">†",2011,[],71,"{'xyr1': 0, 'ace3': 0, 'cbh1': 0, 'cellulase': 0, 'reesei': 0}",7.330916878114617,Eukaryotic Cell,10.1128/EC.00208-10,"['Portnoy, Thomas', 'Margeot, Antoine', 'Seidl-Seiboth, Verena', 'Le Crom, Stéphane', 'Ben Chaabane, Fadhel', 'Linke, Rita', 'Seiboth, Bernhard', 'Kubicek, Christian P.']","Due to its capacity to produce large amounts of cellulases, Trichoderma reesei is increasingly being investigated for second-generation biofuel production from lignocellulosic biomass. The induction mechanisms of T. reesei cellulases have been described recently, but the regulation of the genes involved in their transcription has not been studied thoroughly. Here we report the regulation of expression of the two activator genes xyr1 and ace2, and the corepressor gene ace1, during the induction of cellulase biosynthesis by the inducer lactose in T. reesei QM 9414, a strain producing low levels of cellulase (low producer). We show that all three genes are induced by lactose. xyr1 was also induced by d-galactose, but this induction was independent of d-galactose metabolism. Moreover, ace1 was carbon catabolite repressed, whereas full induction of xyr1 and ace2 in fact required CRE1. Significant differences in these regulatory patterns were observed in the high-producer strain RUT C30 and the hyperproducer strain T. reesei CL847. These observations suggest that a strongly elevated basal transcription level of xyr1 and reduced upregulation of ace1 by lactose may have been important for generating the hyperproducer strain and that thus, these genes are major control elements of cellulase production."
6885621,31501242,The transcription factor ACE3 controls cellulase activities and lactose metabolism via two additional regulators in the fungus Trichoderma reesei,2019,"['trichoderma reesei', 'transcription factor', 'protein-protein interaction', 'cellulase', 'dna binding protein', 'protein-dna interaction', 'gene expression', 'fungi', 'hypocrea jecorina', 'gene knockout', 'ace3', 'protein-protein interaction', 'transcription factor', 'trichoderma reesei (hypocrea jecorina)', 'zn(ii)2cys6 protein', 'renewables', 'gene regulation', 'hydrolase', 'transcriptomics']",46,"{'xyr1': 0, 'ace3': 0, 'cbh1': 0, 'cellulase': 0, 'reesei': 0}",7.562242424221073,The Journal of Biological Chemistry,10.1074/jbc.RA119.008497,"['Zhang, Jiajia', 'Chen, Yumeng', 'Wu, Chuan', 'Liu, Pei', 'Wang, Wei', 'Wei, Dongzhi']","Fungi of the genus Trichoderma are a rich source of enzymes, such as cellulases and hemicellulases, that can degrade lignocellulosic biomass and are therefore of interest for biotechnological approaches seeking to optimize biofuel production. The essential transcription factor ACE3 is involved in cellulase production in Trichoderma reesei; however, the mechanism by which ACE3 regulates cellulase activities is unknown. Here, we discovered that the nominal ace3 sequence in the T. reesei genome available through the Joint Genome Institute is erroneously annotated. Moreover, we identified the complete ace3 sequence, the ACE3 Zn(II)2Cys6 domain, and the ACE3 DNA-binding sites containing a 5′-CGGAN(T/A)3-3′ consensus. We found that in addition to its essential role in cellulase production, ace3 is required for lactose assimilation and metabolism in T. reesei. Transcriptional profiling with RNA-Seq revealed that ace3 deletion down-regulates not only the bulk of the major cellulase, hemicellulase, and related transcription factor genes, but also reduces the expression of lactose metabolism–related genes. Additionally, we demonstrate that ACE3 binds the promoters of many cellulase genes, the cellulose response transporter gene crt1, and transcription factor–encoding genes, including xyr1. We also observed that XYR1 dimerizes to facilitate cellulase production and that ACE3 interacts with XYR1. Together, these findings uncover how two essential transcriptional activators mediate cellulase gene expression in T. reesei. On the basis of these observations, we propose a model of how the interactions between ACE3, Crt1, and XYR1 control cellulase expression and lactose metabolism in T. reesei."
8822348,35130719,Dual Regulatory Role of Chromatin Remodeler ISW1 in Coordinating Cellulase and Secondary Metabolite Biosynthesis in Trichoderma reesei,2022,"['trichoderma reesei', 'isw1', 'cellulase', 'sorbicillinoid', 'gene regulation']",8,"{'xyr1': 0, 'ace3': 0, 'cbh1': 0, 'cellulase': 0, 'reesei': 0}",5.712281330785609,mBio,10.1128/mbio.03456-21,"['Cao, Yanli', 'Yang, Renfei', 'Zheng, Fanglin', 'Meng, Xiangfeng', 'Zhang, Weixin', 'Liu, Weifeng', 'Lin, Xiaorong']","The saprophytic filamentous fungus Trichoderma reesei represents one of the most prolific cellulase producers isolated from nature. T. reesei also produces a typical yellow pigment identified as sorbicillinoids during cultivation. Here, we identified an evolutionarily conserved histone remodeling factor, ISW1, in T. reesei that simultaneously participates in regulating cellulase and the yellow pigment biosynthesis. Trisw1 deletion almost abolished vegetable growth, asexual spore formation, and cellulase gene expression. However, its absence significantly enhanced the production of the yellow pigment. The observed dual regulatory role of TrISW1 was dependent on its ATPase activity. We demonstrated that Trisw1 disruption elevated the transcription of ypr1 coding for the transcriptional activator of sor genes encoding the polyketide synthases catalyzing the biosynthesis of sorbicillinoids but compromised that of xyr1 encoding the key transcriptional activator of cellulase genes. Discrete T. reesei homologous ISW1 accessory factors were also found to exert differential effects on the expression of these two types of genes. Further analyses showed that TrISW1 was recruited to cellulase gene promoters, and its absence interfered with loss of histone H4 at the cbh1 and eg1 promoters upon cellulose induction. To the contrary, Trisw1 deletion facilitated loss of H4 at the sor locus. These data indicate that TrISW1 represents an important chromatin remodeler with a dual role in coordinating the cellulolytic response and biosynthesis of the major secondary metabolite in T. reesei."
7467262,32877410,Trichoderma reesei XYR1 activates cellulase gene expression via interaction with the Mediator subunit TrGAL11 to recruit RNA polymerase II,2020,[],19,"{'xyr1': 97, 'ace3': 0, 'cbh1': 21, 'cellulase': 67, 'reesei': 30}",11.933731630712092,PLoS Genetics,10.1371/journal.pgen.1008979,"['Zheng, Fanglin', 'Cao, Yanli', 'Yang, Renfei', 'Wang, Lei', 'Lv, Xinxing', 'Zhang, Weixin', 'Meng, Xiangfeng', 'Liu, Weifeng', 'Butler, Geraldine']","The ascomycete Trichoderma reesei is a highly prolific cellulase producer. While XYR1 (Xylanase regulator 1) has been firmly established to be the master activator of cellulase gene expression in T. reesei, its precise transcriptional activation mechanism remains poorly understood. In the present study, TrGAL11, a component of the Mediator tail module, was identified as a putative interacting partner of XYR1. Deletion of Trgal11 markedly impaired the induced expression of most (hemi)cellulase genes, but not that of the major β-glucosidase encoding genes. This differential involvement of TrGAL11 in the full induction of cellulase genes was reflected by the RNA polymerase II (Pol II) recruitment on their core promoters, indicating that TrGAL11 was required for the efficient transcriptional initiation of the majority of cellulase genes. In addition, we found that TrGAL11 recruitment to cellulase gene promoters largely occurred in an XYR1-dependent manner. Although xyr1 expression was significantly tuned down without TrGAL11, the binding of XYR1 to cellulase gene promoters did not entail TrGAL11. These results indicate that TrGAL11 represents a direct in vivo target of XYR1 and may play a critical role in contributing to Mediator and the following RNA Pol II recruitment to ensure the induced cellulase gene expression."
4409711,25909478,Genome sequencing of the Trichoderma reesei QM9136 mutant identifies a truncation of the transcriptional regulator XYR1 as the cause for its cellulase-negative phenotype,2015,"['single nucleotide polymorphism', 'snp', 'indel', 'comparative genomics', 'classical mutant', 'xyr1', 'transcription factor shuttling', 'cellulases', 'trichoderma reesei', 'qm9136']",24,"{'xyr1': 210, 'ace3': 1, 'cbh1': 2, 'cellulase': 49, 'reesei': 42}",12.108291082727467,BMC Genomics,10.1186/s12864-015-1526-0,"['Lichius, Alexander', 'Bidard, Frédérique', 'Buchholz, Franziska', 'Le Crom, Stéphane', 'Martin, Joel', 'Schackwitz, Wendy', 'Austerlitz, Tina', 'Grigoriev, Igor V', 'Baker, Scott E', 'Margeot, Antoine', 'Seiboth, Bernhard', 'Kubicek, Christian P']","Trichoderma reesei is the main industrial source of cellulases and hemicellulases required for the hydrolysis of biomass to simple sugars, which can then be used in the production of biofuels and biorefineries. The highly productive strains in use today were generated by classical mutagenesis. As byproducts of this procedure, mutants were generated that turned out to be unable to produce cellulases. In order to identify the mutations responsible for this inability, we sequenced the genome of one of these strains, QM9136, and compared it to that of its progenitor T. reesei QM6a."
7731781,33302864,Glucose-lactose mixture feeds in industry-like conditions: a gene regulatory network analysis on the hyperproducing Trichoderma reesei strain Rut-C30,2020,"['trichoderma reesei rut-c30', 'carbon sources', 'cellulases', 'transcriptome', 'fed-batch fermentation', 'data science', 'gene regulatory network']",5,"{'xyr1': 0, 'ace3': 0, 'cbh1': 0, 'cellulase': 0, 'reesei': 0}",4.7900769306257684,BMC Genomics,10.1186/s12864-020-07281-8,"['Pirayre, Aurélie', 'Duval, Laurent', 'Blugeon, Corinne', 'Firmo, Cyril', 'Perrin, Sandrine', 'Jourdier, Etienne', 'Margeot, Antoine', 'Bidard, Frédérique']","The degradation of cellulose and hemicellulose molecules into simpler sugars such as glucose is part of the second generation biofuel production process. Hydrolysis of lignocellulosic substrates is usually performed by enzymes produced and secreted by the fungus Trichoderma reesei. Studies identifying transcription factors involved in the regulation of cellulase production have been conducted but no overview of the whole regulation network is available. A transcriptomic approach with mixtures of glucose and lactose, used as a substrate for cellulase induction, was used to help us decipher missing parts in the network of T. reesei Rut-C30."
9663580,36376415,"Inducer-free cellulase production system based on the constitutive expression of mutated XYR1 and ACE3 in the industrial fungus Trichoderma'], b'reesei",2022,"['biotechnology', 'microbiology']",6,"{'xyr1': 136, 'ace3': 116, 'cbh1': 10, 'cellulase': 144, 'reesei': 25}",11.768597882194374,Scientific Reports,10.1038/s41598-022-23815-4,"['Arai, Toshiharu', 'Ichinose, Sakurako', 'Shibata, Nozomu', 'Kakeshita, Hiroshi', 'Kodama, Hiroshi', 'Igarashi, Kazuaki', 'Takimura, Yasushi']","Trichoderma', b'c toggle=""yes"">reesei is a widely used host for producing cellulase and hemicellulase cocktails for lignocellulosic biomass degradation. Here, we report a genetic modification strategy for industrial T.', b'c toggle=""yes"">reesei that enables enzyme production using simple glucose without inducers, such as cellulose, lactose and sophorose. Previously, the mutated XYR1V821F or XYR1A824V was known to induce xylanase and cellulase using only glucose as a carbon source, but its enzyme composition was biased toward xylanases, and its performance was insufficient to degrade lignocellulose efficiently. Therefore, we examined combinations of mutated XYR1V821F and constitutively expressed CRT1, BGLR, VIB1, ACE2, or ACE3, known as cellulase regulators and essential factors for cellulase expression to the T.', b'c toggle=""yes"">reesei E1AB1 strain that has been highly mutagenized for improving enzyme productivity and expressing a ß-glucosidase for high enzyme performance. The results showed that expression of ACE3 to the mutated XYR1V821F expressing strain promoted cellulase expression. Furthermore, co-expression of these two transcription factors also resulted in increased productivity, with enzyme productivity 1.5-fold higher than with the conventional single expression of mutated XYR1V821F. Additionally, that productivity was 5.5-fold higher compared to productivity with an enhanced single expression of ACE3. Moreover, although the DNA-binding domain of ACE3 had been considered essential for inducer-free cellulase production, we found that ACE3 with a partially truncated DNA-binding domain was more effective in cellulase production when co-expressed with a mutated XYR1V821F. This study demonstrates that co-expression of the two transcription factors, the mutated XYR1V821F or XYR1A824V and ACE3, resulted in optimized enzyme composition and increased productivity."
6509817,31077201,Enhancement of cellulase production in Trichoderma reesei RUT-C30 by comparative genomic screening,2019,"['trichoderma reesei', 'rut-c30', 'genome sequencing', 'cellulase production', 'tre108642', 'tre56839', 'alcohol dehydrogenase', 'cre1']",16,"{'xyr1': 5, 'ace3': 0, 'cbh1': 2, 'cellulase': 82, 'reesei': 52}",10.956085701230792,Microbial Cell Factories,10.1186/s12934-019-1131-z,"['Liu, Pei', 'Lin, Aibo', 'Zhang, Guoxiu', 'Zhang, Jiajia', 'Chen, Yumeng', 'Shen, Tao', 'Zhao, Jian', 'Wei, Dongzhi', 'Wang, Wei']",Cellulolytic enzymes produced by the filamentous fungus Trichoderma reesei are commonly used in biomass conversion. The high cost of cellulase is still a significant challenge to commercial biofuel production. Improving cellulase production in T. reesei for application in the cellulosic biorefinery setting is an urgent priority.
4135799,24879125,Intracellular β-Glucosidases CEL1a and CEL1b Are Essential for Cellulase Induction on Lactose in Trichoderma reesei,2014,[],26,"{'xyr1': 0, 'ace3': 0, 'cbh1': 0, 'cellulase': 0, 'reesei': 0}",6.189824558880018,Eukaryotic Cell,10.1128/EC.00100-14,"['Xu, Jintao', 'Zhao, Guolei', 'Kou, Yanbo', 'Zhang, Weixin', 'Zhou, Qingxin', 'Chen, Guanjun', 'Liu, Weifeng']","Lactose (1,4-O-β-d-galacto-pyranosyl-d-glucose) induces cellulolytic enzymes in Trichoderma reesei and is in fact one of the most important soluble carbon sources used to produce cellulases on an industrial level. The mechanism underlying the induction is, however, not fully understood. In this study, we investigated the cellular functions of the intracellular β-glucosidases CEL1a and CEL1b in the induction of cellulase genes by lactose in T. reesei. We demonstrated that while CEL1a and CEL1b were functionally equivalent in mediating the induction, the simultaneous absence of these intracellular β-glucosidases abolished cbh1 gene expression on lactose. d-Galactose restored the efficient cellulase gene induction in the Δcel1a strain independently of its reductive metabolism, but not in the Δcel1a Δcel1b strain. A further comparison of the transcriptional responses of the Δcel1a Δcel1b strain complemented with wild-type CEL1a or a catalytically inactive CEL1a version and the Δcel1a strain constitutively expressing CEL1a or the Kluyveromyces lactis β-galactosidase LAC4 showed that both the CEL1a protein and its glycoside hydrolytic activity were indispensable for cellulase induction by lactose. We also present evidence that intracellular β-glucosidase-mediated lactose induction is further conveyed to XYR1 to ensure the efficiently induced expression of cellulase genes."
