PMCID,PMID,Title,Year,Journal,DOI,Authors,Associated Keywords,Citations,Keywords Count,Score,TF,Word Count,Abstract
8045692,33693646,Chemosensory signal transduction in Caenorhabditis elegans,2021,Genetics,10.1093/genetics/iyab004,"['Ferkey, Denise M', 'Sengupta, Piali', 'L’Etoile, Noelle D', 'Iino, Y']","['wormbook', 'chemosensation', 'signal transduction', 'taste', 'odorant', 'pheromone', 'c. elegans', 'olfaction', 'gpcr', 'sensory', 'signaling', 'gustation']",77,"{'lsy-6': 0, 'che-1': 0}",0.0,"{'lsy-6': 0.0, 'che-1': 0.0}",31084,"Chemosensory neurons translate perception of external chemical cues, including odorants, tastants, and pheromones, into information that drives attraction or avoidance motor programs. In the laboratory, robust behavioral assays, coupled with powerful genetic, molecular and optical tools, have made Caenorhabditis elegans an ideal experimental system in which to dissect the contributions of individual genes and neurons to ethologically relevant chemosensory behaviors. Here, we review current knowledge of the neurons, signal transduction molecules and regulatory mechanisms that underlie the response of C. elegans to chemicals, including pheromones. The majority of identified molecules and pathways share remarkable homology with sensory mechanisms in other organisms. With the development of new tools and technologies, we anticipate that continued study of chemosensory signal transduction and processing in C. elegans will yield additional new insights into the mechanisms by which this animal is able to detect and discriminate among thousands of chemical cues with a limited sensory neuron repertoire."
8864745,34151952,Methods for analyzing neuronal structure and activity in Caenorhabditis elegans,2021,Genetics,10.1093/genetics/iyab072,"['Emmons, Scott W', 'Yemini, Eviatar', 'Zimmer, Manuel']","['synapse', 'connectome', 'ca2+-imaging', 'fluorescent reporter gene', 'graph theory', 'nervous system', 'nematode', 'wormbook']",8,"{'lsy-6': 0, 'che-1': 0}",0.0,"{'lsy-6': 0.0, 'che-1': 0.0}",0,"The model research animal Caenorhabditis elegans has unique properties making it particularly advantageous for studies of the nervous system. The nervous system is composed of a stereotyped complement of neurons connected in a consistent manner. Here, we describe methods for studying nervous system structure and function. The transparency of the animal makes it possible to visualize and identify neurons in living animals with fluorescent probes. These methods have been recently enhanced for the efficient use of neuron-specific reporter genes. Because of its simple structure, for a number of years, C. elegans has been at the forefront of connectomic studies defining synaptic connectivity by electron microscopy. This field is burgeoning with new, more powerful techniques, and recommended up-to-date methods are here described that encourage the possibility of new work in C. elegans. Fluorescent probes for single synapses and synaptic connections have allowed verification of the EM reconstructions and for experimental approaches to synapse formation. Advances in microscopy and in fluorescent reporters sensitive to Ca2+ levels have opened the way to observing activity within single neurons across the entire nervous system."
11457946,39167071,Neurogenesis in Caenorhabditis elegans,2024,Genetics,10.1093/genetics/iyae116,"['Poole, Richard J', 'Flames, Nuria', 'Cochella, Luisa', 'Sundaram, M']","['neurogenesis', 'caenorhabditis elegans', 'gene regulation', 'neurodevelopment', 'transcription factors', 'wormbook']",11,"{'lsy-6': 17, 'che-1': 34}",6.295655569727546,"{'lsy-6': 0.0004798735392084909, 'che-1': 0.0009597470784169818}",35426,"Animals rely on their nervous systems to process sensory inputs, integrate these with internal signals, and produce behavioral outputs. This is enabled by the highly specialized morphologies and functions of neurons. Neuronal cells share multiple structural and physiological features, but they also come in a large diversity of types or classes that give the nervous system its broad range of functions and plasticity. This diversity, first recognized over a century ago, spurred classification efforts based on morphology, function, and molecular criteria. Caenorhabditis elegans, with its precisely mapped nervous system at the anatomical level, an extensive molecular description of most of its neurons, and its genetic amenability, has been a prime model for understanding how neurons develop and diversify at a mechanistic level. Here, we review the gene regulatory mechanisms driving neurogenesis and the diversification of neuron classes and subclasses in C. elegans. We discuss our current understanding of the specification of neuronal progenitors and their differentiation in terms of the transcription factors involved and ensuing changes in gene expression and chromatin landscape. The central theme that has emerged is that the identity of a neuron is defined by modules of gene batteries that are under control of parallel yet interconnected regulatory mechanisms. We focus on how, to achieve these terminal identities, cells integrate information along their developmental lineages. Moreover, we discuss how neurons are diversified postembryonically in a time-, genetic sex-, and activity-dependent manner. Finally, we discuss how the understanding of neuronal development can provide insights into the evolution of neuronal diversity."
6028246,29967059,Recent Molecular Genetic Explorations of Caenorhabditis elegans MicroRNAs,2018,Genetics,10.1534/genetics.118.300291,"['Ambros, Victor', 'Ruvkun, Gary']","['caenorhabditis elegans', 'microrna', 'argonaute', 'mirisc', 'mutant phenotypes', 'wormbook']",48,"{'lsy-6': 0, 'che-1': 0}",0.0,"{'lsy-6': 0.0, 'che-1': 0.0}",0,"MicroRNAs are small, noncoding RNAs that regulate gene expression at the post-transcriptional level in essentially all aspects of Caenorhabditis elegans biology. More than 140 genes that encode microRNAs in C. elegans regulate development, behavior, metabolism, and responses to physiological and environmental changes. Genetic analysis of C. elegans microRNA genes continues to enhance our fundamental understanding of how microRNAs are integrated into broader gene regulatory networks to control diverse biological processes, including growth, cell division, cell fate determination, behavior, longevity, and stress responses. As many of these microRNA sequences and the related processing machinery are conserved over nearly a billion years of animal phylogeny, the assignment of their functions via worm genetics may inform the functions of their orthologs in other animals, including humans. In vivo investigations are especially important for microRNAs because in silico extrapolation of their functions using mRNA target prediction programs can easily assign microRNAs to incorrect genetic pathways. At this mezzanine level of microRNA bioinformatic sophistication, genetic analysis continues to be the gold standard for pathway assignments."
7213980,32367802,Caenorhabditis elegans processes sensory information to choose between freeloading and self-defense strategies,2020,eLife,10.7554/eLife.56186.sa2,"['Schiffer, Jodie A', 'Servello, Francesco A', 'Heath, William R', 'Amrit, Francis Raj Gandhi', 'Stumbur, Stephanie V', 'Eder, Matthias', 'Martin, Olivier MF', 'Johnsen, Sean B', 'Stanley, Julian A', 'Tam, Hannah', 'Brennan, Sarah J', 'McGowan, Natalie G', 'Vogelaar, Abigail L', 'Xu, Yuyan', 'Serkin, William T', 'Ghazi, Arjumand', 'Stroustrup, Nicholas', 'Apfeld, Javier', 'Hobert, Oliver', 'Calabrese, Ronald L', 'Hobert, Oliver']","['c. elegans', 'hydrogen peroxide', 'stress response', 'sensory perception', 'insulin signaling', 'tgfβ signaling', 'c. elegans', 'e. coli']",14,"{'lsy-6': 0, 'che-1': 0}",0.0,"{'lsy-6': 0.0, 'che-1': 0.0}",11313,"Hydrogen peroxide is the preeminent chemical weapon that organisms use for combat. Individual cells rely on conserved defenses to prevent and repair peroxide-induced damage, but whether similar defenses might be coordinated across cells in animals remains poorly understood. Here, we identify a neuronal circuit in the nematode Caenorhabditis elegans that processes information perceived by two sensory neurons to control the induction of hydrogen peroxide defenses in the organism. We found that catalases produced by Escherichia coli, the nematode’s food source, can deplete hydrogen peroxide from the local environment and thereby protect the nematodes. In the presence of E. coli, the nematode’s neurons signal via TGFβ-insulin/IGF1 relay to target tissues to repress expression of catalases and other hydrogen peroxide defenses. This adaptive strategy is the first example of a multicellular organism modulating its defenses when it expects to freeload from the protection provided by molecularly orthologous defenses from another species."
10743456,38096407,A cGAL-UAS bipartite expression toolkit for Caenorhabditis elegans sensory neurons,2023,Proceedings of the National Academy of Sciences of the United States of America,10.1073/pnas.2221680120,"['Nava, Stephanie', 'Palma, Wilber', 'Wan, Xuan', 'Oh, Jun Young', 'Gharib, Shahla', 'Wang, Han', 'Revanna, Jasmin S.', 'Tan, Minyi', 'Zhang, Mark', 'Liu, Jonathan', 'Chen, Chun-Hao', 'Lee, James S.', 'Perry, Barbara', 'Sternberg, Paul W.']","['sensory neurons', 'genetic accessability', 'gene expression', 'genetic engineering']",4,"{'lsy-6': 0, 'che-1': 0}",0.0,"{'lsy-6': 0.0, 'che-1': 0.0}",0,"Many experiments require the precise targeting of gene expression to individual cells: interrogation of neural circuits; cell biology; and pinpointing the cellular sites of gene action. Bipartite expression systems allow independent construction of cell type–specific “drivers” that direct gene expression, and function-specific “effector” genes that carry our specific functions; Any effector gene can be expressed under control of any driver. Sensory neurons in Caenorhabditis elegans are a major focus of biological study. Using our previously described GAL4-UAS bipartite system optimized for C. elegans; we generated driver strains for essentially all C. elegans hermaphrodite sensory neurons. We also greatly expanded the toolkit of effector constructs and strains. These reagents will greatly facilitate many mechanistic studies."
6827377,31685551,Developmental Plasticity and Cellular Reprogramming in Caenorhabditis elegans,2019,Genetics,10.1534/genetics.119.302333,"['Rothman, Joel', 'Jarriault, Sophie']","['reprogramming', 'transdifferentiation', 'transdetermination', 'cell type conversion', 'stem cells', 'wormbook']",19,"{'lsy-6': 0, 'che-1': 0}",0.0,"{'lsy-6': 0.0, 'che-1': 0.0}",0,"While Caenorhabditis elegans was originally regarded as a model for investigating determinate developmental programs, landmark studies have subsequently shown that the largely invariant pattern of development in the animal does not reflect irreversibility in rigidly fixed cell fates. Rather, cells at all stages of development, in both the soma and germline, have been shown to be capable of changing their fates through mutation or forced expression of fate-determining factors, as well as during the normal course of development. In this chapter, we review the basis for natural and induced cellular plasticity in C. elegans. We describe the events that progressively restrict cellular differentiation during embryogenesis, starting with the multipotency-to-commitment transition (MCT) and subsequently through postembryonic development of the animal, and consider the range of molecular processes, including transcriptional and translational control systems, that contribute to cellular plasticity. These findings in the worm are discussed in the context of both classical and recent studies of cellular plasticity in vertebrate systems."
8866504,35197494,Neural model generating klinotaxis behavior accompanied by a random walk based on C. elegans connectome,2022,Scientific Reports,10.1038/s41598-022-06988-w,"['Chen, Mohan', 'Feng, Dazheng', 'Su, Hongtao', 'Su, Tingting', 'Wang, Meng']","['computational neuroscience', 'network models', 'navigation', 'computer modelling', 'behavioural methods']",2,"{'lsy-6': 0, 'che-1': 0}",0.0,"{'lsy-6': 0.0, 'che-1': 0.0}",10913,"Klinotaxis is a strategy of chemotaxis behavior in Caenorhabditis elegans (C. elegans), and random walking is evident during its locomotion. As yet, the understanding of the neural mechanisms underlying these behaviors has remained limited. In this study, we present a connectome-based simulation model of C. elegans to concurrently realize realistic klinotaxis and random walk behaviors and explore their neural mechanisms. First, input to the model is derived from an ASE sensory neuron model in which the all-or-none depolarization characteristic of ASEL neuron is incorporated for the first time. Then, the neural network is evolved by an evolutionary algorithm; klinotaxis emerged spontaneously. We identify a plausible mechanism of klinotaxis in this model. Next, we propose the liquid synapse according to the stochastic nature of biological synapses and introduce it into the model. Adopting this, the random walk is generated autonomously by the neural network, providing a new hypothesis as to the neural mechanism underlying the random walk. Finally, simulated ablation results are fairly consistent with the biological conclusion, suggesting the similarity between our model and the biological network. Our study is a useful step forward in behavioral simulation and understanding the neural mechanisms of behaviors in C. elegans."
8092265,33785621,Detection of Pathogens and Regulation of Immunity by the Caenorhabditis elegans Nervous System,2021,mBio,10.1128/mBio.02301-20,"['Liu, Yiyong', 'Sun, Jingru', 'Garsin, Danielle A.']","['caenorhabditis elegans', 'innate immunity', 'the nervous system', 'pathogen recognition', 'neural regulation', 'g protein-coupled receptor', 'neurotransmitter']",16,"{'lsy-6': 0, 'che-1': 0}",0.0,"{'lsy-6': 0.0, 'che-1': 0.0}",5173,"Although Caenorhabditis elegans has been used as a model host for studying host-pathogen interactions for more than 20 years, the mechanisms by which it identifies pathogens are not well understood. This is largely due to its lack of most known pattern recognition receptors (PRRs) that recognize pathogen-derived molecules."
6204124,29709599,Autophagy in C. elegans development,2018,Developmental biology,10.1016/j.ydbio.2018.04.009,"['Palmisano, Nicholas J.', 'Meléndez, Alicia']","['autophagy', 'lipophagy', 'c. elegans', 'dauer development']",26,"{'lsy-6': 0, 'che-1': 0}",0.0,"{'lsy-6': 0.0, 'che-1': 0.0}",0,"Autophagy involves the sequestration of cytoplasmic contents in a double-membrane structure referred to as the autophagosome and the degradation of its contents upon delivery to lysosomes. Autophagy activity has a role in multiple biological processes during the development of the nematode Caenorhabditis elegans. Basal levels of autophagy are required to remove aggregate prone proteins, paternal mitochondria, and spermatid-specific membranous organelles. During larval development, autophagy is required for the remodeling that occurs during dauer development, and autophagy can selectively degrade components of the miRNA-induced silencing complex, and modulate miRNA-mediated silencing. Basal levels of autophagy are important in synapse formation and in the germ line, to promote the proliferation of proliferating stem cells. Autophagy activity is also required for the efficient removal of apoptotic cell corpses by promoting phagosome maturation. Finally, autophagy is also involved in lipid homeostasis and in the aging process. In this review, we first describe the molecular complexes involved in the process of autophagy, its regulation, and mechanisms for cargo recognition. In the second section, we discuss the developmental contexts where autophagy has been shown to be important. Studies in C. elegans provide valuable insights into the physiological relevance of this process during metazoan development."
