PMCID,PMID,Title,Year,Journal,DOI,Authors,Associated Keywords,Citations,Keywords Count,Score,TF,Word Count,Abstract
9888229,36602369,Role of the Nitrogen Metabolism Regulator TAM1 in Regulation of Cellulase Gene Expression in Trichoderma reesei,2023,Applied and Environmental Microbiology,10.1128/aem.01421-22,"['Yang, Renfei', 'Wang, Zhixing', 'Xia, Yuxiao', 'Zheng, Fanglin', 'Kang, Fusi', 'Meng, Xiangfeng', 'Zhang, Weixin', 'Liu, Weifeng', 'Druzhinina, Irina S.']","['transcriptional regulator', 'gene expression regulation', 'tam1/tama', 'nutrient utilization']",5,"{'cellulase': 11, 'reesei': 2, 'cbh1': 0, 'xyr1': 1}",0.0,"{'cellulase': 0.0, 'reesei': 0.0, 'cbh1': 0.0, 'xyr1': 0.0}",0,"The filamentous fungus Trichoderma reesei is one of the most prolific cellulase producers and has been established as a model microorganism for investigating mechanisms modulating eukaryotic gene expression. Identification and functional characterization of transcriptional regulators involved in complex and stringent regulation of cellulase genes are, however, not yet complete. Here, a Zn(II)2Cys6-type transcriptional factor TAM1 that is homologous to Aspergillus nidulans TamA involved in nitrogen metabolism, was found not only to regulate ammonium utilization but also to control cellulase gene expression in T. reesei. Whereas Δtam1 cultivated with peptone as a nitrogen source did not exhibit a growth defect that was observed on ammonium, it was still significantly compromised in cellulase biosynthesis. The absence of TAM1 almost fully abrogated the rapid cellulase gene induction in a resting-cell-inducing system. Overexpression of gdh1 encoding the key ammonium assimilatory enzyme in Δtam1 rescued the growth defect on ammonium but not the defect in cellulase gene expression. Of note, mutation of the Zn(II)2Cys6 DNA-binding motif of TAM1 hardly affected cellulase gene expression, while a truncated ARE1 mutant lacking the C-terminal 12 amino acids that are required for the interaction with TAM1 interfered with cellulase biosynthesis. The defect in cellulase induction of Δtam1 was rescued by overexpression of the key transactivator for cellulase gene, XYR1. Our results thus identify a nitrogen metabolism regulator as a new modulator participating in the regulation of induced cellulase gene expression."
8276808,34047636,"Trichoderma reesei ACE4, a Novel Transcriptional Activator Involved in the Regulation of Cellulase Genes during Growth on Cellulose ",2021,Applied and Environmental Microbiology,10.1128/AEM.00593-21,"['Chen, Yumeng', 'Lin, Aibo', 'Liu, Pei', 'Fan, Xingjia', 'Wu, Chuan', 'Li, Ni', 'Wei, Liujing', 'Wang, Wei', 'Wei, Dongzhi', 'Druzhinina, Irina S.']","['trichoderma reesei', 'cellulase gene', 'transcription factor', 'zn(ii)2cys6 protein', 'ace4']",16,"{'cellulase': 11, 'reesei': 4, 'cbh1': 0, 'xyr1': 0}",0.0,"{'cellulase': 0.0, 'reesei': 0.0, 'cbh1': 0.0, 'xyr1': 0.0}",0,"The filamentous fungus Trichoderma reesei is a model strain for cellulase production. Cellulase gene expression in T. reesei is controlled by multiple transcription factors. Here, we identified by comparative genomic screening a novel transcriptional activator, ACE4 (activator of cellulase expression 4), that positively regulates cellulase gene expression on cellulose in T. reesei. Disruption of the ace4 gene significantly decreased expression of four main cellulase genes and the essential cellulase transcription factor-encoding gene ace3. Overexpression of ace4 increased cellulase production by approximately 22% compared to that in the parental strain. Further investigations using electrophoretic mobility shift assays, DNase I footprinting assays, and chromatin immunoprecipitation assays indicated that ACE4 directly binds to the promoter of cellulase genes by recognizing the two adjacent 5′-GGCC-3′ sequences. Additionally, ACE4 directly binds to the promoter of ace3 and, in turn, regulates the expression of ACE3 to facilitate cellulase production. Collectively, these results demonstrate an important role for ACE4 in regulating cellulase gene expression, which will contribute to understanding the mechanism underlying cellulase expression in T. reesei."
6885621,31501242,The transcription factor ACE3 controls cellulase activities and lactose metabolism via two additional regulators in the fungus Trichoderma reesei,2019,The Journal of Biological Chemistry,10.1074/jbc.RA119.008497,"['Zhang, Jiajia', 'Chen, Yumeng', 'Wu, Chuan', 'Liu, Pei', 'Wang, Wei', 'Wei, Dongzhi']","['trichoderma reesei', 'transcription factor', 'protein-protein interaction', 'cellulase', 'dna binding protein', 'protein-dna interaction', 'gene expression', 'fungi', 'hypocrea jecorina', 'gene knockout', 'ace3', 'protein-protein interaction', 'transcription factor', 'trichoderma reesei (hypocrea jecorina)', 'zn(ii)2cys6 protein', 'renewables', 'gene regulation', 'hydrolase', 'transcriptomics']",46,"{'cellulase': 11, 'reesei': 5, 'cbh1': 0, 'xyr1': 4}",0.0,"{'cellulase': 0.0, 'reesei': 0.0, 'cbh1': 0.0, 'xyr1': 0.0}",0,"Fungi of the genus Trichoderma are a rich source of enzymes, such as cellulases and hemicellulases, that can degrade lignocellulosic biomass and are therefore of interest for biotechnological approaches seeking to optimize biofuel production. The essential transcription factor ACE3 is involved in cellulase production in Trichoderma reesei; however, the mechanism by which ACE3 regulates cellulase activities is unknown. Here, we discovered that the nominal ace3 sequence in the T. reesei genome available through the Joint Genome Institute is erroneously annotated. Moreover, we identified the complete ace3 sequence, the ACE3 Zn(II)2Cys6 domain, and the ACE3 DNA-binding sites containing a 5′-CGGAN(T/A)3-3′ consensus. We found that in addition to its essential role in cellulase production, ace3 is required for lactose assimilation and metabolism in T. reesei. Transcriptional profiling with RNA-Seq revealed that ace3 deletion down-regulates not only the bulk of the major cellulase, hemicellulase, and related transcription factor genes, but also reduces the expression of lactose metabolism–related genes. Additionally, we demonstrate that ACE3 binds the promoters of many cellulase genes, the cellulose response transporter gene crt1, and transcription factor–encoding genes, including xyr1. We also observed that XYR1 dimerizes to facilitate cellulase production and that ACE3 interacts with XYR1. Together, these findings uncover how two essential transcriptional activators mediate cellulase gene expression in T. reesei. On the basis of these observations, we propose a model of how the interactions between ACE3, Crt1, and XYR1 control cellulase expression and lactose metabolism in T. reesei."
9953249,36830663,Intracellular Sugar Transporters Facilitate Cellulase Synthesis in Trichoderma reesei Using Lactose,2023,Biomolecules,10.3390/biom13020295,"['Wang, Haiyan', 'Pang, Ai-Ping', 'Li, Bingzhi', 'Huo, Liujie', 'Wu, Fu-Gen', 'Lin, Fengming', 'Schmoll, Monika', 'Kracher, Daniel', 'Daly, Paul', 'Urban, Philippe']","['sugar transporter', 'lactose', 'lignocellulose-degrading enzyme']",1,"{'cellulase': 9, 'reesei': 4, 'cbh1': 0, 'xyr1': 0}",0.0,"{'cellulase': 0.0, 'reesei': 0.0, 'cbh1': 0.0, 'xyr1': 0.0}",0,"Sugar transporters play an important role in the cellulase production of lignocellulose-degrading fungi. Nevertheless, the role and function of these transporters are still unclear. Here we first report intracellular sugar transporters assisting cellulase production in Trichoderma reesei (T. reesei) using lactose. The mRNA levels of sugar transporter genes mfs, gst, and lac1 were substantially upregulated in T. reesei cultivated on lactose, with the most abundant mRNA levels at 24 h as compared to glucose. Moreover, the individual deletion of these sugar transporters significantly inhibited cellulase production, solid cell growth, and sporulation of T. reesei, suggesting they play a supporting role in cellulase production when grown in lactose. Surprisingly, MFS, GST, and LAC1 were mainly localized in the cytoplasm, with MFS and LAC1 in the endoplasmic reticulum (ER), representing the first discovery of intracellular sugar transporters involved in cellulase biosynthesis in lactose culture. The absence of the gene lac1 noticeably inhibited most of the crucial genes related to cellulase production, including cellulase-encoding genes, transcription factors, and sugar transporters, at 24 h, which was fully relieved at 48 h or 72 h, indicating that lac1 affects cellulase production more at the early step. This research advances the understanding of the function of intracellular sugar transporters in fungi, particularly for fungal cellulase production."
9118834,35590356,Transmembrane transport process and endoplasmic reticulum function facilitate the role of gene cel1b in cellulase production of Trichoderma reesei,2022,Microbial Cell Factories,10.1186/s12934-022-01809-1,"['Pang, Ai-Ping', 'Luo, Yongsheng', 'Hu, Xin', 'Zhang, Funing', 'Wang, Haiyan', 'Gao, Yichen', 'Durrani, Samran', 'Li, Chengcheng', 'Shi, Xiaotong', 'Wu, Fu-Gen', 'Li, Bing-Zhi', 'Lu, Zuhong', 'Lin, Fengming']","['filamentous fungus', 'β-glucosidase', 'cel1b', 'sugar transporters', 'protein export', 'protein processing', 'endoplasmic reticulum']",6,"{'cellulase': 1, 'reesei': 1, 'cbh1': 0, 'xyr1': 0}",0.0,"{'cellulase': 0.0, 'reesei': 0.0, 'cbh1': 0.0, 'xyr1': 0.0}",0,"A total of 11 β-glucosidases are predicted in the genome of Trichoderma reesei, which are of great importance for regulating cellulase biosynthesis. Nevertheless, the relevant function and regulation mechanism of each β-glucosidase remained unknown."
8822348,35130719,Dual Regulatory Role of Chromatin Remodeler ISW1 in Coordinating Cellulase and Secondary Metabolite Biosynthesis in Trichoderma reesei,2022,mBio,10.1128/mbio.03456-21,"['Cao, Yanli', 'Yang, Renfei', 'Zheng, Fanglin', 'Meng, Xiangfeng', 'Zhang, Weixin', 'Liu, Weifeng', 'Lin, Xiaorong']","['trichoderma reesei', 'isw1', 'cellulase', 'sorbicillinoid', 'gene regulation']",7,"{'cellulase': 5, 'reesei': 5, 'cbh1': 1, 'xyr1': 1}",0.0,"{'cellulase': 0.0, 'reesei': 0.0, 'cbh1': 0.0, 'xyr1': 0.0}",0,"The saprophytic filamentous fungus Trichoderma reesei represents one of the most prolific cellulase producers isolated from nature. T. reesei also produces a typical yellow pigment identified as sorbicillinoids during cultivation. Here, we identified an evolutionarily conserved histone remodeling factor, ISW1, in T. reesei that simultaneously participates in regulating cellulase and the yellow pigment biosynthesis. Trisw1 deletion almost abolished vegetable growth, asexual spore formation, and cellulase gene expression. However, its absence significantly enhanced the production of the yellow pigment. The observed dual regulatory role of TrISW1 was dependent on its ATPase activity. We demonstrated that Trisw1 disruption elevated the transcription of ypr1 coding for the transcriptional activator of sor genes encoding the polyketide synthases catalyzing the biosynthesis of sorbicillinoids but compromised that of xyr1 encoding the key transcriptional activator of cellulase genes. Discrete T. reesei homologous ISW1 accessory factors were also found to exert differential effects on the expression of these two types of genes. Further analyses showed that TrISW1 was recruited to cellulase gene promoters, and its absence interfered with loss of histone H4 at the cbh1 and eg1 promoters upon cellulose induction. To the contrary, Trisw1 deletion facilitated loss of H4 at the sor locus. These data indicate that TrISW1 represents an important chromatin remodeler with a dual role in coordinating the cellulolytic response and biosynthesis of the major secondary metabolite in T. reesei."
10817842,38276978,Regulation of cellulase production via calcium signaling in Trichoderma reesei under PEG8000 stress,2024,Applied Microbiology and Biotechnology,10.1007/s00253-023-12901-w,"['Liu, Shuai', 'Quan, Lin', 'Yang, Mei', 'Wang, Dan', 'Wang, Yong-Zhong']","['trichoderma reesei cicc2626', 'polyethylene glycol 8000', 'cellulase production', 'calcium signaling']",3,"{'cellulase': 102, 'reesei': 57, 'cbh1': 13, 'xyr1': 0}",0.0,"{'cellulase': 0.015468607825295723, 'reesei': 0.008644222020018199, 'cbh1': 0.0019714892326357296, 'xyr1': 0.0}",6594,"In this study, the effect of polyethylene glycol 8000 (PEG8000) stress on cellulase biosynthesis in Trichoderma reesei CICC2626 via calcium signaling was investigated, and a plausible mechanism by which intracellular Ca2+ regulates the transcription of cellulase genes was proposed. The results indicated that the total cellulase (filter paper-hydrolyzing activity [FPase]), endoglucanase (carboxymethyl cellulase activity [CMCase]), and β-glucosidase activities of the strain were 1.3-, 1.2-, and 1.3-fold higher than those of the control (no PEG8000 addition) at a final concentration of 1.5% (w/v) PEG8000. Moreover, the transcriptional levels of cellulase genes, protein concentrations, and biomass increased. With the synergistic use of commercial cellulase and T. reesei CICC2626 cellulase to hydrolyze alkali-pretreated rice straw, the released reducing sugar concentration reached 372.7 mg/g, and the cellulose content (22.7%, 0.32 g) was significantly lower than the initial content (62.5%, 1.88 g). Transcriptome data showed that 12 lignocellulose degradation–related genes were significantly upregulated in the presence of 1.5% PEG8000. Furthermore, the addition of Ca2+ inhibitors and deletion of crz1 (calcineurin-responsive zinc finger 1-encoding gene, which is related to the calcium signaling pathway) demonstrated that calcium signaling plays a dominant role in PEG8000-induced cellulase genes overexpression. These results revealed a link between PEG8000 induction and calcium signaling transduction in T. reesei CICC2626. Moreover, this study also provides a novel inducer for enhanced cellulase production."
6509817,31077201,Enhancement of cellulase production in Trichoderma reesei RUT-C30 by comparative genomic screening,2019,Microbial Cell Factories,10.1186/s12934-019-1131-z,"['Liu, Pei', 'Lin, Aibo', 'Zhang, Guoxiu', 'Zhang, Jiajia', 'Chen, Yumeng', 'Shen, Tao', 'Zhao, Jian', 'Wei, Dongzhi', 'Wang, Wei']","['trichoderma reesei', 'rut-c30', 'genome sequencing', 'cellulase production', 'tre108642', 'tre56839', 'alcohol dehydrogenase', 'cre1']",16,"{'cellulase': 82, 'reesei': 52, 'cbh1': 2, 'xyr1': 5}",46.86735941130128,"{'cellulase': 0.01823032458870609, 'reesei': 0.011560693641618497, 'cbh1': 0.00044464206313917296, 'xyr1': 0.0011116051578479323}",4498,Cellulolytic enzymes produced by the filamentous fungus Trichoderma reesei are commonly used in biomass conversion. The high cost of cellulase is still a significant challenge to commercial biofuel production. Improving cellulase production in T. reesei for application in the cellulosic biorefinery setting is an urgent priority.
10978942,38548869,The protein methyltransferase TrSAM inhibits cellulase gene expression by interacting with the negative regulator ACE1 in Trichoderma reesei,2024,Communications Biology,10.1038/s42003-024-06072-1,"['Zhu, Zhihua', 'Zou, Gen', 'Chai, Shunxing', 'Xiao, Meili', 'Wang, Yinmei', 'Wang, Pingping', 'Zhou, Zhihua']","['fungi', 'post-translational modifications']",3,"{'cellulase': 58, 'reesei': 48, 'cbh1': 34, 'xyr1': 34}",47.980341742119926,"{'cellulase': 0.007823037496628, 'reesei': 0.006474237928243863, 'cbh1': 0.004585918532506069, 'xyr1': 0.004585918532506069}",7414,"Protein methylation is a commonly posttranslational modification of transcriptional regulators to fine-tune protein function, however, whether this regulation strategy participates in the regulation of lignocellulase synthesis and secretion in Trichoderma reesei remains unexplored. Here, a putative protein methyltransferase (TrSAM) is screened from a T. reesei mutant with the ability to express heterologous β-glucosidase efficiently even under glucose repression. The deletion of its encoding gene trsam causes a significant increase of cellulase activities in all tested T. reesei strains, including transformants of expressing heterologous genes using cbh1 promotor. Further investigation confirms that TrSAM interacts with the cellulase negative regulator ACE1 via its amino acid residue Arg383, which causes a decrease in the ACE1-DNA binding affinity. The enzyme activity of a T. reesei strain harboring ACE1R383Q increases by 85.8%, whereas that of the strains with trsam or ace1 deletion increases by more than 100%. By contrast, the strain with ACE1R383K shows no difference to the parent strain. Taken together, our results demonstrate that TrSAM plays an important role in regulating the expression of cellulase and heterologous proteins initiated by cbh1 promotor through interacting with ACE1R383. Elimination and mutation of TrSAM and its downstream ACE1 alleviate the carbon catabolite repression (CCR) in expressing cellulase and heterologous protein in varying degrees. This provides a new solution for the exquisite modification of T. reesei chassis."
5956553,29773074,Enhanced cellulase production in Trichoderma reesei RUT C30 via constitution of minimal transcriptional activators,2018,Microbial Cell Factories,10.1186/s12934-018-0926-7,"['Zhang, Jiajia', 'Zhang, Guoxiu', 'Wang, Wei', 'Wang, Wei', 'Wei, Dongzhi']","['minimal transcriptional activator', 'cellulase production', 'trichoderma reesei', 'aceii', 'crei']",31,"{'cellulase': 4, 'reesei': 2, 'cbh1': 0, 'xyr1': 0}",0.0,"{'cellulase': 0.0, 'reesei': 0.0, 'cbh1': 0.0, 'xyr1': 0.0}",0,"Cellulase can convert lignocellulosic feedstocks into fermentable sugars, which can be used for the industrial production of biofuels and chemicals. The high cost of cellulase production remains a challenge for lignocellulose breakdown. Trichoderma reesei RUT C30 serves as a well-known industrial workhorse for cellulase production. Therefore, the enhancement of cellulase production by T. reesei RUT C30 is of great importance."
